,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
78,215,594798,"deGrom, Jacob",1226,17.5,0.093,0.082,214,83.8,16.4,2426,95.8,97.02,102,198,17,1.2,6.89,-1.11,1.11
79,448,593423,"Montas, Frankie",3028,14.8,0.134,0.121,443,86.4,11.9,2183,93.1,92.22,144,425,23,-0.9,5.96,-1.16,1.16
80,449,425794,"Wainwright, Adam",3068,14.6,0.169,0.163,445,86.1,7.3,2450,82.8,82.54,76,397,52,-0.3,6.49,-1.18,1.18
81,138,676840,"Peacock, Matt",1323,10.4,0.146,0.144,136,85.2,-0.4,2196,91.2,81.2,25,135,3,-10.0,5.34,-1.2,1.2
82,283,543606,"Odorizzi, Jake",1847,15.3,0.154,0.133,278,86.1,19.1,1898,88.1,86.89,77,274,9,-1.2,6.07,-1.2,1.2
83,320,663903,"Singer, Brady",2287,14.0,0.138,0.129,317,84.9,7.1,2334,89.6,90.12,87,291,29,0.5,6.53,-1.2,1.2
84,237,503449,"Peralta, Wily",1554,15.3,0.164,0.152,230,85.8,5.5,1591,87.8,87.15,44,230,7,-0.7,5.74,-1.2,1.2
85,267,548389,"Stripling, Ross",1686,15.8,0.158,0.133,263,86.5,18.5,2151,87.9,87.54,67,251,16,-0.4,6.02,-1.21,1.21
86,218,669456,"Bieber, Shane",1559,14.0,0.121,0.118,217,86.2,8.6,2407,87.2,86.9,77,196,22,-0.3,6.55,-1.21,1.21
87,368,605135,"Bassitt, Chris",2381,15.5,0.128,0.119,365,85.7,14.8,2202,87.1,87.19,107,345,23,0.1,6.34,-1.24,1.24
88,182,605507,"Thompson, Zach",1194,15.2,0.146,0.139,180,86.3,12.1,2340,86.5,86.6,44,174,8,0.1,6.32,-1.25,1.25
89,393,425844,"Greinke, Zack",2577,15.3,0.167,0.156,386,85.1,9.0,2133,84.2,83.54,66,364,29,-0.7,5.93,-1.25,1.25
90,61,468504,"Chacín, Jhoulys",1070,5.7,0.151,0.143,59,82.6,4.0,2274,87.1,86.89,7,55,6,-0.2,5.92,-1.3,1.3
91,349,605288,"Houser, Adrian",2352,14.8,0.141,0.138,342,83.0,-1.8,2045,90.9,91.39,64,325,24,0.5,6.53,-1.32,1.32
92,447,605397,"Musgrove, Joe",2938,15.2,0.131,0.126,439,85.1,10.7,2696,86.7,86.03,134,407,40,-0.7,5.9,-1.33,1.33
93,46,448855,"Guerra, Junior",1225,3.8,0.122,0.118,46,83.0,7.9,1962,88.7,88.79,13,43,3,0.1,6.41,-1.33,1.33
94,268,502179,"Espino, Paolo",1735,15.4,0.143,0.134,261,83.9,17.4,2485,82.0,82.17,61,249,19,0.2,6.52,-1.33,1.33
95,310,615698,"Quantrill, Cal",2357,13.2,0.128,0.123,305,83.0,12.9,2038,90.6,91.24,49,272,38,0.6,6.48,-1.35,1.35
96,83,429722,"Santana, Ervin",1063,7.8,0.19,0.177,82,87.2,16.6,2248,88.5,88.25,20,80,3,-0.2,6.03,-1.37,1.37
97,333,641745,"Keller, Brad",2348,14.2,0.177,0.153,323,87.9,7.8,2368,91.0,90.1,78,302,31,-0.9,5.85,-1.38,1.38
98,244,656731,"Megill, Tylor",1554,15.7,0.109,0.096,240,85.0,13.0,1984,90.1,91.66,80,231,13,1.6,7.2,-1.39,1.39
