"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"KC","2021-09-26","84.4","-3.12","4.98","Kimbrel, Craig",623912,518886,,"swinging_strike",,,,,"14","Harold Ramirez homers (7) on a fly ball to right field.","R","R","R","CLE","CWS","S",,,"0","0",2021,"1.13","-0.71","0.46","1.09",,,,"1","8","Bot",,,,,"518735",,,6.117029763759737,-122.80720845616074,-1.260995507514648,10.199128239628314,24.51749348265815,-39.359501954895386,"3.3","1.5",,,,"84.9","2549","6.6",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","53.88",,,,,,,,"73","1","Knuckle Curve","1","5","1","5","5","1","1","5","Standard","Standard","53","0","-0.027"
"FF","2021-09-26","96.1","-2.99","4.84","Kimbrel, Craig",656252,518886,"field_out","hit_into_play",,,,,"2","Bobby Bradley flies out to left fielder Eloy Jimenez.","R","L","R","CLE","CWS","X","7","fly_ball","1","2",2021,"-0.95","1.04","0.22","2.90",,,,"0","8","Bot",96.59,75.38,,,"518735",,,10.68438672966622,-139.66974393884834,-1.9450594995878712,-14.755479029383528,30.01182649107166,-18.25227447041576,"3.41","1.56","315","92.4","40","96.6","2332","6.5",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","53.97","0.017","0.033","0","1","0","0","3","72","4","4-Seam Fastball","1","5","1","5","5","1","1","5","Infield shift","Standard","227","-0.014","-0.173"
"FF","2021-09-26","95.7","-3.17","4.77","Kimbrel, Craig",656252,518886,,"ball",,,,,"11","Bobby Bradley flies out to left fielder Eloy Jimenez.","R","L","R","CLE","CWS","B",,,"0","2",2021,"-1.05","1.09","-1.50","4.73",,,,"0","8","Bot",,,,,"518735",,,6.785154235721696,-139.22312951070862,3.0582709594087873,-15.167345529120125,31.58958619461606,-18.893571212330034,"3.28","1.53",,,,"95.8","2366","6.4",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","54.13",,,,,,,,"72","3","4-Seam Fastball","1","5","1","5","5","1","1","5","Infield shift","Standard","223","0","0.022"
"KC","2021-09-26","84.5","-3.15","4.93","Kimbrel, Craig",656252,518886,,"called_strike",,,,,"7","Bobby Bradley flies out to left fielder Eloy Jimenez.","R","L","R","CLE","CWS","S",,,"0","1",2021,"1.18","-0.64","-0.39","1.51",,,,"0","8","Bot",,,,,"518735",,,4.070178181504208,-123.02964371103411,-0.3177769736024957,11.191580696951322,24.76788708191491,-38.78030420863646,"3.27","1.5",,,,"84.8","2684","6.5",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","54",,,,,,,,"72","2","Knuckle Curve","1","5","1","5","5","1","1","5","Infield shift","Standard","61","0","-0.052"
"KC","2021-09-26","84.7","-3.32","4.9","Kimbrel, Craig",656252,518886,,"swinging_strike",,,,,"14","Bobby Bradley flies out to left fielder Eloy Jimenez.","R","L","R","CLE","CWS","S",,,"0","0",2021,"1.02","-0.83","0.97","1.39",,,,"0","8","Bot",,,,,"518735",,,7.99294344383889,-123.18633074700182,-0.20957096419515686,8.904991740474587,23.77922824660661,-40.77802956122945,"3.41","1.56",,,,"85","2610","6.5",632330,518886,"518735","657757","544725","660162","641313","650391","571740","683734","54.03",,,,,,,,"72","1","Knuckle Curve","1","5","1","5","5","1","1","5","Infield shift","Standard","57","0","-0.038"
"KC","2021-09-24","86.3","-2.96","5.04","Kimbrel, Craig",642708,518886,"strikeout","swinging_strike",,,,,"14","Amed Rosario strikes out swinging.","R","R","R","CLE","CWS","S","2",,"2","2",2021,"1.07","-0.66","0.95","1.03",,,,"2","8","Bot",,,,,"641470",,,7.142598857295521,-125.51016452150924,-1.9633912745205084,9.877537782702317,25.342543526335707,-38.986939768218406,"3.47","1.59",,,,"86.7","2565","6.6",632363,518886,"641470","547989","514917","660162","641313","650391","673357","683734","53.91",,,"0","1","0","0",,"57","5","Knuckle Curve","0","1","0","1","1","0","0","1","Standard","Standard","46","-0.031","-0.091"
"KC","2021-09-24","86.2","-3.15","4.85","Kimbrel, Craig",642708,518886,,"swinging_strike",,,,,"8","Amed Rosario strikes out swinging.","R","R","R","CLE","CWS","S",,,"2","1",2021,"0.92","-0.04","0.04","1.60",,,,"2","8","Bot",,,,,"641470",,,5.762920991407926,-125.46853596051346,-1.4655408264021494,8.62830778122951,23.88353197257791,-32.46684450607762,"3.47","1.59",,,,"86.8","2592","6.5",632363,518886,"641470","547989","514917","660162","641313","650391","673357","683734","53.95",,,,,,,,"57","4","Knuckle Curve","0","1","0","1","1","0","0","1","Standard","Standard","65","0","-0.028"
"FF","2021-09-24","95.1","-3.09","4.74","Kimbrel, Craig",642708,518886,,"ball",,,,,"12","Amed Rosario strikes out swinging.","R","R","R","CLE","CWS","B",,,"1","1",2021,"-0.96","1.25","1.41","3.07",,,,"2","8","Bot",,,,,"641470",,,14.007015249465285,-137.8343155533738,-1.507061225249112,-15.300282357201292,29.913753911915407,-16.044342011865744,"3.48","1.62",,,,"95.6","2339","6.7",632363,518886,"641470","547989","514917","660162","641313","650391","673357","683734","53.77",,,,,,,,"57","3","4-Seam Fastball","0","1","0","1","1","0","0","1","Standard","Standard","232","0","0.02"
"FF","2021-09-24","95.1","-2.9","4.87","Kimbrel, Craig",642708,518886,,"called_strike",,,,,"3","Amed Rosario strikes out swinging.","R","R","R","CLE","CWS","S",,,"1","0",2021,"-0.8","1.23","0.60","2.95",,,,"2","8","Bot",,,,,"641470",,,11.01764028529638,-138.17041772069635,-2.155473266225266,-12.72039157818875,29.929105644492367,-16.106856477167753,"3.48","1.7",,,,"95.5","2313","6.5",632363,518886,"641470","547989","514917","660162","641313","650391","673357","683734","53.97",,,,,,,,"57","2","4-Seam Fastball","0","1","0","1","1","0","0","1","Standard","Standard","222","0","-0.02"
"KC","2021-09-24","85.7","-3.29","4.86","Kimbrel, Craig",642708,518886,,"ball",,,,,"13","Amed Rosario strikes out swinging.","R","R","R","CLE","CWS","B",,,"0","0",2021,"0.93","-0.69","-0.76","0.78",,,,"2","8","Bot",,,,,"641470",,,4.109439097763623,-124.81469666041669,-1.9675599036375329,8.79601269431588,26.11742694399411,-39.205332090583624,"3.52","1.69",,,,"85.9","2569","6.5",632363,518886,"641470","547989","514917","660162","641313","650391","673357","683734","54.02",,,,,,,,"57","1","Knuckle Curve","0","1","0","1","1","0","0","1","Standard","Standard","55","0","0.016"
