"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2021-09-30","101.7","-0.41","6.24","Clase, Emmanuel",593160,661403,,"ball",,,,,"14","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","B",,,"0","1",2021,"-0.05","1.22","1.45","1.65",,,"572191","2","9","Bot",,,,,"595978",,,5.326569587419529,-147.77981029871384,-10.495454513537554,-1.9157168269699778,32.29797300078302,-12.045521001790242,"3.35","1.61",,,,"101.6","2499","6.1",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.35",,,,,,,,"76","2","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","182","-0.001","0.029"
"FC","2021-09-30","102.1","-0.53","6.16","Clase, Emmanuel",593160,661403,,"swinging_strike",,,,,"9","Whit Merrifield flies out to right fielder Bradley Zimmer.","R","R","R","KC","CLE","S",,,"0","0",2021,"0.2","1.09","0.43","1.93",,,"572191","2","9","Bot",,,,,"595978",,,2.238989844422021,-148.63767782522208,-9.377611118026714,2.4400409759037354,31.649225500939774,-14.077013079967552,"3.41","1.56","17",,,"103","2487","6.5",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","53.98",,,,,,,,"76","1","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","184","-0.001","-0.041"
"SL","2021-09-30","94.4","-0.35","6.21","Clase, Emmanuel",595956,661403,"field_out","hit_into_play",,,,,"9","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","X","8","line_drive","3","2",2021,"0.16","0.52","0.65","1.96",,,"572191","1","9","Bot",122.66,58.77,,,"595978",,,2.2592410419339926,-137.5757135364174,-6.635259018927682,1.6222478471670339,26.35881553880834,-24.40514450739584,"3.49","1.6","348","99.2","18","95","2468","6.3",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.23","0.403","0.464","0","1","0","0","4","75","9","Slider","1","6","1","6","6","1","1","6","Standard","Standard","110","-0.005","-0.384"
"SL","2021-09-30","91.9","-0.39","6.23","Clase, Emmanuel",595956,661403,,"foul",,,,,"6","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","S",,,"3","2",2021,"0.43","0.56","0.42","2.23",,,"572191","1","9","Bot",,,,,"595978",,,1.099449837645719,-133.86049986543907,-5.5405795986058735,5.000407469030732,26.60241039397016,-24.44591958434017,"3.49","1.6","126","77.3","75","92.1","2409","6.2",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.34",,,,,,,,"75","8","Slider","1","6","1","6","6","1","1","6","Standard","Standard","92","0","0"
"SL","2021-09-30","92.1","-0.28","6.26","Clase, Emmanuel",595956,661403,,"foul",,,,,"8","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","S",,,"3","2",2021,"0.55","0.2","0.06","1.88",,,"572191","1","9","Bot",,,,,"595978",,,-0.3307520688554022,-134.23188263491704,-5.771218055913393,6.799928614868414,25.609499722362084,-28.840320111003905,"3.49","1.6","5","107.5","-19","92.2","2520","6",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.53",,,,,,,,"75","7","Slider","1","6","1","6","6","1","1","6","Standard","Standard","81","0","0"
"FC","2021-09-30","100.7","-0.43","6.21","Clase, Emmanuel",595956,661403,,"foul",,,,,"2","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","S",,,"3","2",2021,"0.31","0.86","-0.10","3.30",,,"572191","1","9","Bot",,,,,"595978",,,0.18110559052869118,-146.77636945617567,-4.896643558358594,4.5039673486536405,29.828648023104986,-18.737531913821265,"3.49","1.6","193","76.2","63","101.6","2560","6.4",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.15",,,,,,,,"75","6","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","172","0","0"
"SL","2021-09-30","92.9","-0.47","6.22","Clase, Emmanuel",595956,661403,,"swinging_strike",,,,,"14","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","S",,,"3","1",2021,"0.26","0.31","0.28","1.39",,,"572191","1","9","Bot",,,,,"595978",,,1.337071978557847,-135.30080580746633,-7.373704789861954,3.012713823919661,25.583480657931528,-27.13976053109033,"3.49","1.6",,,,"93.5","2390","6.3",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.2",,,,,,,,"75","5","Slider","1","6","1","6","6","1","1","6","Standard","Standard","108","0","-0.115"
"SL","2021-09-30","91.7","-0.4","6.27","Clase, Emmanuel",595956,661403,,"ball",,,,,"9","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","B",,,"2","1",2021,"0.38","0.41","0.54","1.77",,,"572191","1","9","Bot",,,,,"595978",,,1.546386310092367,-133.57589467989106,-6.489584681023812,4.364262653383114,24.016399979623593,-26.20900213584834,"3.42","1.59",,,,"92.1","2511","6.1",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.42",,,,,,,,"75","4","Slider","1","6","1","6","6","1","1","6","Standard","Standard","81","0","0.136"
"FC","2021-09-30","100.6","-0.57","6.28","Clase, Emmanuel",595956,661403,,"ball",,,,,"11","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","B",,,"1","1",2021,"0.48","1.08","-1.23","3.88",,,"572191","1","9","Bot",,,,,"595978",,,-2.9617990461056127,-146.62328674542954,-3.957035821616822,7.5621790953002135,30.5030263817034,-15.779109302784075,"3.39","1.55",,,,"101.2","2556","6.2",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.26",,,,,,,,"75","3","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","176","0","0.061"
"FC","2021-09-30","99.7","-0.65","6.2","Clase, Emmanuel",595956,661403,,"called_strike",,,,,"7","Cam Gallagher lines out to center fielder Myles Straw.","R","R","R","KC","CLE","S",,,"1","0",2021,"0.38","0.94","-0.42","1.96",,,"572191","1","9","Bot",,,,,"595978",,,-0.25214820253660797,-145.18480887446856,-8.542237149073078,5.557955455040081,28.533192694332982,-17.16177317837607,"3.46","1.55",,,,"100","2621","6.1",632284,661403,"595978","656252","680911","608070","644374","640458","664702","605548","54.44",,,,,,,,"75","2","Cutter","1","6","1","6","6","1","1","6","Standard","Standard","177","0","-0.051"
