pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
258,547942,"Kim, Kwang Hyun",1784,14.5,0,0,0,0,0,0.143,0.134,0,254,83.7,7.4,2056,84.5,85,57,245,13,0.5,6.7,111,153,119,147,298,315,291,1.57
174,519043,"Moore, Matt",1254,13.9,0,0,0,0,0,0.151,0.133,0,166,83,17,2179,88.5,88.17,37,160,14,-0.3,6.18,108,152,114,147,294,323,289,1.56
213,641482,"Cortes, Nestor",1524,14,0,0,0,0,0,0.119,0.107,0,211,85.4,28.2,2232,87.1,86.6,53,189,24,-0.5,5.93,108,154,121,147,297,322,285,1.5
293,477132,"Kershaw, Clayton",1806,16.2,0,0,0,0,0,0.11,0.104,0,290,83.3,8.2,2587,86.3,86.33,98,275,18,0,6.3,110,157,117,149,299,315,291,1.47
256,474463,"Anderson, Brett",1508,17,0,0,0,0,0,0.203,0.184,0,246,86.2,-1.2,1702,85.4,81.24,38,241,15,-4.2,5.9,106,152,117,146,301,321,293,1.42
295,663460,"Bubic, Kris",2202,13.4,0,0,0,0,0,0.149,0.138,0,292,85,8.9,1970,85.2,85.46,77,276,19,0.3,6.58,106,157,119,145,302,322,301,1.4
397,572971,"Keuchel, Dallas",2726,14.6,0,0,0,0,0,0.199,0.185,0,397,84.6,1.7,1943,84,83.62,58,379,18,-0.4,6.05,111,152,116,148,297,317,293,1.36
205,656954,"Sheffield, Justus",1470,13.9,0,0,0,0,0,0.182,0.16,0,200,87.7,11.6,2226,86.8,85.82,45,196,9,-1,5.85,106,153,117,147,298,320,292,1.32
386,608331,"Fried, Max",2558,15.1,0,0,0,0,0,0.14,0.132,0,380,81.7,0.8,2322,87.6,87.79,104,357,29,0.2,6.32,105,151,120,148,304,318,288,1.28
261,527048,"Pérez, Martín",1860,14,0,0,0,0,0,0.172,0.151,0,256,86.4,9.3,2031,89.6,88.92,37,219,42,-0.7,5.83,106,153,119,146,295,328,293,1.19
310,664285,"Valdez, Framber",2090,14.8,0,0,0,0,0,0.156,0.15,0,308,89.2,-8.5,2344,86.7,85.19,83,290,20,-1.5,5.86,109,154,117,149,293,321,289,1.12
172,663738,"Lynch, Daniel",1257,13.7,0,0,0,0,0,0.166,0.137,0,167,86.1,14.5,2027,89.7,90.28,38,161,11,0.6,6.56,106,156,116,143,302,323,296,1
168,656849,"Peterson, David",1122,15,0,0,0,0,0,0.157,0.15,0,166,85.4,4.2,2101,88.9,90.1,45,151,17,1.2,7.1,112,153,116,149,298,324,296,0.86
172,669145,"Zimmermann, Bruce",1105,15.6,0,0,0,0,0,0.167,0.15,0,169,87,14.3,2289,86.9,86.27,43,164,8,-0.6,6.23,107,152,121,148,302,323,295,0.79
399,501985,"Minor, Mike",2621,15.2,0,0,0,0,0,0.135,0.121,0,395,84.6,16.9,2522,87.5,86.59,93,363,36,-0.9,5.59,106,157,118,144,301,323,296,0.79
154,518633,"Duffy, Danny",1009,15.3,0,0,0,0,0,0.147,0.13,0,154,87.1,22.3,2334,89.2,89.97,43,140,14,0.8,6.76,108,159,119,144,298,321,295,0.76
331,663556,"McClanahan, Shane",1954,16.9,0,0,0,0,0,0.159,0.139,0,329,88.3,7.9,2373,90.9,91.74,109,306,25,0.8,6.79,104,152,117,148,301,321,292,0.71
357,607644,"Means, John",2328,15.3,0,0,0,0,0,0.155,0.137,0,354,84.4,21.9,2333,86.9,86.46,86,331,26,-0.4,6.14,108,154,121,148,301,324,290,0.45
45,476595,"Luetge, Lucas",1241,3.6,0,0,0,0,0,0.131,0.118,0,45,84.2,16.3,2624,82.8,82.72,13,41,4,-0.1,6.22,109,150,122,145,296,321,289,0.43
356,543243,"Gray, Sonny",2228,16,0,0,0,0,0,0.115,0.115,0,353,83.5,8.7,2451,88.3,88.58,73,289,67,0.3,6.5,113,153,122,147,291,317,289,-0.57
282,650644,"Civale, Aaron",1909,14.8,0,0,0,0,0,0.165,0.156,0,278,84.4,11,2440,86,85.36,55,258,24,-0.6,5.73,113,154,123,150,295,321,296,-0.68
209,643377,"Jax, Griffin",1394,15,0,0,0,0,0,0.165,0.133,0,205,87.8,23.4,2459,88,87.38,44,195,14,-0.6,5.84,105,156,118,149,298,329,295,-0.69
423,623167,"Flexen, Chris",2811,15,0,0,0,0,0,0.163,0.144,0,416,87.3,13.6,2103,87.7,87.2,70,394,29,-0.5,5.97,111,155,117,148,292,319,297,-0.76
343,668676,"Plesac, Zach",2205,15.6,0,0,0,0,0,0.155,0.142,0,339,87.5,14.1,1895,87.8,87.83,69,326,17,0,6.17,112,154,121,149,294,318,293,-0.76
397,669203,"Burnes, Corbin",2594,15.3,0,0,0,0,0,0.098,0.092,0,394,83.1,9.5,2739,92,92.45,139,345,52,0.4,6.4,110,152,121,147,298,320,296,-0.78
173,672578,"Hernández, Carlos",1434,12.1,0,0,0,0,0,0.186,0.162,0,172,89.7,18.2,2216,91.7,92.65,41,166,7,1,6.79,108,157,120,146,299,322,304,-0.79
